Description,Class
Electric Utility Bill -,Electricity
Winter Heating Usage -- South America,Heating
Natural Gas Supply -- Distribution Center,Heating
Electricity Meter Reading -- Global HQ,Electricity
KWh Consumption -in Manufacturing Plant,Electricity
Winter Heating Usage -in Asia Pacific,Heating
Natural Gas Supply -for European Operations,Heating
Monthly Power Usage -for Distribution Center,Electricity
General Waste Collection -- R&D Center,Waste Disposal
Electricity Supply -in South America,Electricity
Power Consumption -in Distribution Center,Electricity
Hazardous Waste Disposal -for Q3 Period,Waste Disposal
Electricity Meter Reading -- Monthey Facility,Electricity
Employee Salaries - Month End,Other
Propane Supply -in Distribution Center,Heating
Gas Utility Bill -,Heating
Steam Generation Gas -for South America,Heating
Employee Salaries - Month End,Other
Natural Gas Supply -- European Operations,Heating
Electricity Meter Reading -- Distribution Center,Electricity
Insulation Material Purchase,Other
Monthly Power Usage -,Electricity
Water Supply -,Water
Marketing Campaign - Digital Ads,Other
Grid Power Purchase -,Electricity
Non-Hazardous Waste Disposal -- Distribution Center,Waste Disposal
Insulation Material Purchase,Other
Monthly Water Usage -in Monthey Facility,Water
Water Supply -in Q3 Period,Water
Potable Water Supply -- North America,Water
Solid Waste Management Fee -,Waste Disposal
Incinerator Maintenance Fee,Other
Non-Hazardous Waste Disposal -for Q3 Period,Waste Disposal
Water Consumption -in Monthey Facility,Water
Chemical Waste Disposal -,Waste Disposal
Steam Generation Gas -in Q3 Period,Heating
Gas Utility Bill -,Heating
Non-Hazardous Waste Disposal -- Manufacturing Plant,Waste Disposal
Solid Waste Management Fee -- North America,Waste Disposal
Heating Expense -- European Operations,Heating
Recycling Services -- R&D Center,Waste Disposal
Steam Generation Gas -,Heating
Steam Generation Gas -in North America,Heating
Fuel Oil Delivery -,Heating
Electricity Meter Reading -,Electricity
Monthly Water Usage -,Water
Chemical Waste Disposal -,Waste Disposal
Medical Waste Collection -in Distribution Center,Waste Disposal
General Waste Collection -in Q3 Period,Waste Disposal
Medical Waste Collection -in Basel Site,Waste Disposal
Bulk Water Purchase -- Monthey Facility,Water
KWh Consumption -- Asia Pacific,Electricity
Chemical Waste Disposal -,Waste Disposal
Environmental Impact Assessment,Other
Water Consumption -,Water
Energy Supply Charge -for Year-End,Electricity
General Waste Collection -,Waste Disposal
Recycling Services -,Waste Disposal
Water Utility Bill -,Water
Heating Expense -in Global HQ,Heating
KWh Consumption -- Year-End,Electricity
Propane Supply -- Global HQ,Heating
Energy Supply Charge -for Q3 Period,Electricity
Natural Gas Supply -,Heating
Municipal Water Charge -,Water
Electric Utility Bill -for Distribution Center,Electricity
General Waste Collection -for North America,Waste Disposal
Natural Gas Supply -- Distribution Center,Heating
Steam Generation Gas -- Manufacturing Plant,Heating
Herbicide Product Sales - Europe Region,Other
Hazardous Waste Disposal -in Distribution Center,Waste Disposal
Fuel Oil Delivery -,Heating
Medical Waste Collection -for Global HQ,Waste Disposal
Recycling Services -,Waste Disposal
Non-Hazardous Waste Disposal -for Global HQ,Waste Disposal
Heating Fuel Purchase -- Distribution Center,Heating
Municipal Water Charge -- South America,Water
Transformer Upgrade Project,Other
Power Consumption -- North America,Electricity
HVAC System Service Contract,Other
Recycling Services -in Year-End,Waste Disposal
Municipal Water Charge -,Water
Potable Water Supply -- Distribution Center,Water
Fuel Oil Delivery -,Heating
Energy Supply Charge -for South America,Electricity
Water Purity Analysis,Other
Monthly Power Usage -in Monthey Facility,Electricity
Natural Gas Supply -- Distribution Center,Heating
Electricity Supply -for South America,Electricity
Monthly Power Usage -- R&D Center,Electricity
Bulk Water Purchase -for Monthey Facility,Water
Steam Generation Gas -,Heating
Winter Heating Usage -for Q3 Period,Heating
Insulation Material Purchase,Other
Propane Supply -,Heating
Fuel Oil Delivery -,Heating
Electricity Supply -- R&D Center,Electricity
Electric Utility Bill -- Global HQ,Electricity
Energy Supply Charge -in Distribution Center,Electricity
Energy Efficiency Study,Other
Grid Power Purchase -- Distribution Center,Electricity
Municipal Water Charge -in Manufacturing Plant,Water
Propane Supply -in Asia Pacific,Heating
Municipal Water Charge -for Asia Pacific,Water
Solid Waste Management Fee -,Waste Disposal
KWh Consumption -- Asia Pacific,Electricity
Heating Expense -in Manufacturing Plant,Heating
Bulk Water Purchase -,Water
Non-Hazardous Waste Disposal -in European Operations,Waste Disposal
Bulk Water Purchase -for Monthey Facility,Water
Electricity Supply -,Electricity
Monthly Water Usage -in Distribution Center,Water
Non-Hazardous Waste Disposal -in R&D Center,Waste Disposal
Water Consumption -in Manufacturing Plant,Water
Drainage System Maintenance,Other
Monthly Water Usage -for Manufacturing Plant,Water
Monthly Water Usage -- South America,Water
Insulation Material Purchase,Other
Electric Utility Bill -for Asia Pacific,Electricity
Recycling Services -for Q3 Period,Waste Disposal
Heating Fuel Purchase -in Basel Site,Heating
KWh Consumption -for Basel Site,Electricity
Propane Supply -,Heating
Winter Heating Usage -in Distribution Center,Heating
Water Supply -for Basel Site,Water
Industrial Waste Pickup -,Waste Disposal
Water System Cleaning & Descaling,Other
Monthly Water Usage -,Water
Incinerator Maintenance Fee,Other
KWh Consumption -for R&D Center,Electricity
Monthly Water Usage -for Distribution Center,Water
Solid Waste Management Fee -for R&D Center,Waste Disposal
Natural Gas Supply -,Heating
Water Utility Bill -- Asia Pacific,Water
General Waste Collection -,Waste Disposal
Cooling Tower Water Treatment Chemicals,Other
Heating Expense -for Manufacturing Plant,Heating
Water Supply -in Distribution Center,Water
Power Consumption -in South America,Electricity
KWh Consumption -in Global HQ,Electricity
General Waste Collection -in Manufacturing Plant,Waste Disposal
Chemical Waste Disposal -for Distribution Center,Waste Disposal
Water Supply -in Monthey Facility,Water
Gas Utility Bill -for Manufacturing Plant,Heating
Industrial Waste Pickup -- R&D Center,Waste Disposal
Winter Heating Usage -in R&D Center,Heating
Steam Generation Gas -for Q3 Period,Heating
Water Consumption -for South America,Water
Bulk Water Purchase -,Water
Heating Fuel Purchase -- Asia Pacific,Heating
Chemical Waste Disposal -,Waste Disposal
Electricity Meter Reading -in Asia Pacific,Electricity
Solar Panel Installation Cost,Other
Water Utility Bill -for R&D Center,Water
Gas Utility Bill -- Basel Site,Heating
Medical Waste Collection -for Global HQ,Waste Disposal
Heating Fuel Purchase -for North America,Heating
Hazardous Waste Disposal -- Monthey Facility,Waste Disposal
Winter Heating Usage -- North America,Heating
Monthly Water Usage -- Q3 Period,Water
Environmental Impact Assessment,Other
Insurance Premium - General Liability,Other
Monthly Power Usage -in Monthey Facility,Electricity
Non-Hazardous Waste Disposal -in Monthey Facility,Waste Disposal
Monthly Water Usage -in Basel Site,Water
Power Consumption -for Basel Site,Electricity
Potable Water Supply -,Water
Water Consumption -in North America,Water
Gas Utility Bill -in Basel Site,Heating
Water Utility Bill -- European Operations,Water
Grid Power Purchase -- R&D Center,Electricity
Water Utility Bill -in North America,Water
Industrial Waste Pickup -- Asia Pacific,Waste Disposal
Steam Generation Gas -for Distribution Center,Heating
Bulk Water Purchase -in Distribution Center,Water
Monthly Power Usage -,Electricity
Water Supply -for Distribution Center,Water
Potable Water Supply -for Global HQ,Water
Cooling Tower Water Treatment Chemicals,Other
KWh Consumption -for R&D Center,Electricity
Legal Fees - Patent Litigation,Other
Natural Gas Supply -,Heating
Steam Generation Gas -in Global HQ,Heating
Industrial Waste Pickup -,Waste Disposal
Medical Waste Collection -,Waste Disposal
Electricity Supply -- Basel Site,Electricity
Grid Power Purchase -in Q3 Period,Electricity
Electricity Supply -,Electricity
Fuel Oil Delivery -- Basel Site,Heating
Lighting System Replacement,Other
Electrical System Maintenance Contract,Other
Potable Water Supply -- Monthey Facility,Water
Gas Utility Bill -- Asia Pacific,Heating
Gas Utility Bill -,Heating
Power Consumption -in Global HQ,Electricity
Energy Efficiency Study,Other
Temperature Control System Upgrade,Other
Transformer Upgrade Project,Other
Water Consumption -- Monthey Facility,Water
Electricity Meter Reading -for Year-End,Electricity
Winter Heating Usage -- Year-End,Heating
Monthly Power Usage -- Monthey Facility,Electricity
Propane Supply -for European Operations,Heating
Hazardous Waste Disposal -in Global HQ,Waste Disposal
Heating Element Replacement,Other
Municipal Water Charge -in South America,Water
Insurance Premium - General Liability,Other
Electricity Meter Reading -,Electricity
Heating Expense -in Year-End,Heating
Winter Heating Usage -,Heating
Heating Fuel Purchase -for R&D Center,Heating
Medical Waste Collection -- Monthey Facility,Waste Disposal
Water Consumption -- Manufacturing Plant,Water
Monthly Power Usage -in North America,Electricity
Propane Supply -in North America,Heating
Electricity Meter Reading -in Distribution Center,Electricity
Monthly Power Usage -in Basel Site,Electricity
Monthly Power Usage -for Manufacturing Plant,Electricity
Power Consumption -,Electricity
General Waste Collection -for South America,Waste Disposal
Propane Supply -in European Operations,Heating
Electric Utility Bill -for Basel Site,Electricity
Steam Generation Gas -,Heating
General Waste Collection -- Global HQ,Waste Disposal
Water Supply -,Water
Chemical Waste Disposal -in Manufacturing Plant,Waste Disposal
Water Quality Testing Fee,Other
Potable Water Supply -in R&D Center,Water
Energy Supply Charge -for North America,Electricity
Medical Waste Collection -,Waste Disposal
Recycling Services -- Year-End,Waste Disposal
Water Consumption -for North America,Water
Waste Management Consulting Service,Other
Cooling Tower Water Treatment Chemicals,Other
Steam Generation Gas -in Manufacturing Plant,Heating
Monthly Water Usage -for South America,Water
Bulk Water Purchase -,Water
Water Utility Bill -in Monthey Facility,Water
Natural Gas Supply -in Basel Site,Heating
Monthly Water Usage -for European Operations,Water
Electricity Meter Reading -,Electricity
Non-Hazardous Waste Disposal -- Monthey Facility,Waste Disposal
Heating Fuel Purchase -- European Operations,Heating
Electricity Meter Reading -- R&D Center,Electricity
Electricity Supply -- R&D Center,Electricity
Heating Fuel Purchase -in Asia Pacific,Heating
Steam Generation Gas -in South America,Heating
Energy Supply Charge -in European Operations,Electricity
Potable Water Supply -- Q3 Period,Water
Monthly Power Usage -in Manufacturing Plant,Electricity
General Waste Collection -in Year-End,Waste Disposal
General Waste Collection -- Q3 Period,Waste Disposal
Hazardous Waste Disposal -,Waste Disposal
Water Consumption -for Distribution Center,Water
Temperature Control System Upgrade,Other
Potable Water Supply -,Water
Medical Waste Collection -,Waste Disposal
Winter Heating Usage -in Asia Pacific,Heating
Medical Waste Collection -,Waste Disposal
Monthly Water Usage -for R&D Center,Water
Electric Utility Bill -in Global HQ,Electricity
Power Consumption -for Basel Site,Electricity
Natural Gas Line Inspection Fee,Other
IT System Upgrade - Software Licenses,Other
Monthly Water Usage -- Basel Site,Water
Municipal Water Charge -- R&D Center,Water
KWh Consumption -in North America,Electricity
Grid Power Purchase -,Electricity
Lighting System Replacement,Other
Propane Supply -,Heating
Non-Hazardous Waste Disposal -for Monthey Facility,Waste Disposal
Electrical System Maintenance Contract,Other
Electric Utility Bill -,Electricity
Heating Expense -for Year-End,Heating
Hazardous Waste Disposal -- R&D Center,Waste Disposal
Heating Expense -in Monthey Facility,Heating
Power Consumption -- Q3 Period,Electricity
Steam Generation Gas -for Distribution Center,Heating
Water Consumption -for Monthey Facility,Water
Electricity Supply -,Electricity
Municipal Water Charge -for Global HQ,Water
Grid Infrastructure Consulting Fee,Other
Medical Waste Collection -- Monthey Facility,Waste Disposal
Electricity Supply -,Electricity
Solid Waste Management Fee -for R&D Center,Waste Disposal
Winter Heating Usage -in Year-End,Heating
Steam Generation Gas -,Heating
Gas Utility Bill -for Monthey Facility,Heating
Fuel Oil Delivery -in Distribution Center,Heating
Water Supply -- North America,Water
General Waste Collection -for Year-End,Waste Disposal
Water Consumption -in Q3 Period,Water
Industrial Waste Pickup -in Manufacturing Plant,Waste Disposal
Fuel Oil Delivery -,Heating
Power Consumption -for Year-End,Electricity
Electricity Supply -for Q3 Period,Electricity
Energy Supply Charge -for Monthey Facility,Electricity
Monthly Water Usage -for Manufacturing Plant,Water
Monthly Power Usage -for Year-End,Electricity
Power Consumption -in Manufacturing Plant,Electricity
Power Consumption -in Distribution Center,Electricity
Water Supply -in Global HQ,Water
Energy Supply Charge -for South America,Electricity
Municipal Water Charge -in Year-End,Water
Energy Supply Charge -- South America,Electricity
Heating Element Replacement,Other
Insurance Premium - General Liability,Other
Grid Infrastructure Consulting Fee,Other
Monthly Power Usage -in Monthey Facility,Electricity
Waste Management Consulting Service,Other
Water Supply -in North America,Water
Electricity Supply -in Monthey Facility,Electricity
Heating Fuel Purchase -,Heating
KWh Consumption -- Monthey Facility,Electricity
Recycling Services -- Year-End,Waste Disposal
Gas Utility Bill -in Monthey Facility,Heating
Chemical Waste Disposal -for Distribution Center,Waste Disposal
Electricity Meter Reading -,Electricity
Chemical Waste Disposal -for Basel Site,Waste Disposal
Medical Waste Collection -for Q3 Period,Waste Disposal
Natural Gas Line Inspection Fee,Other
Electricity Meter Reading -in Monthey Facility,Electricity
Steam Generation Gas -in Manufacturing Plant,Heating
Environmental Impact Assessment,Other
Utility Meter Calibration,Other
Raw Water Intake -in Global HQ,Water
Municipal Water Charge -,Water
Solid Waste Management Fee -,Waste Disposal
Grid Power Purchase -- Manufacturing Plant,Electricity
Water Quality Testing Fee,Other
Lighting System Replacement,Other
Winter Heating Usage -in South America,Heating
Electricity Supply -for Q3 Period,Electricity
Chemical Waste Disposal -in European Operations,Waste Disposal
Industrial Waste Pickup -for North America,Waste Disposal
Monthly Water Usage -- European Operations,Water
Heating Fuel Purchase -- R&D Center,Heating
Solid Waste Management Fee -in European Operations,Waste Disposal
Recycling Services -in European Operations,Waste Disposal
Raw Water Intake -for European Operations,Water
Electricity Supply -,Electricity
Water Supply -,Water
Gas Utility Bill -- Manufacturing Plant,Heating
Monthly Water Usage -- Basel Site,Water
Energy Supply Charge -in Manufacturing Plant,Electricity
Plumbing Fixture Repair,Other
Industrial Waste Pickup -,Waste Disposal
Winter Heating Usage -in Year-End,Heating
Recycling Services -in Q3 Period,Waste Disposal
Hazardous Waste Disposal -in Q3 Period,Waste Disposal
Chemical Waste Disposal -in Global HQ,Waste Disposal
Solid Waste Management Fee -for Monthey Facility,Waste Disposal
Heating Fuel Purchase -in European Operations,Heating
Electric Utility Bill -for Monthey Facility,Electricity
Raw Water Intake -in Distribution Center,Water
Potable Water Supply -for Distribution Center,Water
Natural Gas Supply -for Basel Site,Heating
Municipal Water Charge -- Global HQ,Water
Power Consumption -for North America,Electricity
Recycling Services -,Waste Disposal
Hazardous Waste Disposal -for Q3 Period,Waste Disposal
Grid Power Purchase -in Basel Site,Electricity
Solid Waste Management Fee -for Monthey Facility,Waste Disposal
Raw Water Intake -for Manufacturing Plant,Water
Plumbing Fixture Repair,Other
Grid Power Purchase -for R&D Center,Electricity
Potable Water Supply -in Asia Pacific,Water
Municipal Water Charge -- South America,Water
Energy Supply Charge -for Year-End,Electricity
General Waste Collection -in South America,Waste Disposal
General Waste Collection -for Distribution Center,Waste Disposal
Heating Fuel Purchase -in North America,Heating
Municipal Water Charge -in European Operations,Water
Bulk Water Purchase -,Water
Fuel Oil Delivery -for Monthey Facility,Heating
Gas Utility Bill -for R&D Center,Heating
Energy Supply Charge -for Distribution Center,Electricity
Insurance Premium - General Liability,Other
Electric Utility Bill -,Electricity
Heating Expense -for Monthey Facility,Heating
Industrial Waste Pickup -for Q3 Period,Waste Disposal
Electric Utility Bill -,Electricity
Natural Gas Supply -,Heating
Chemical Waste Disposal -- Distribution Center,Waste Disposal
Chemical Waste Disposal -for Monthey Facility,Waste Disposal
Water System Cleaning & Descaling,Other
Raw Water Intake -- Year-End,Water
Wastewater Discharge Treatment,Other
Raw Water Intake -- Q3 Period,Water
Electricity Meter Reading -for Global HQ,Electricity
Heating Expense -- Monthey Facility,Heating
Temperature Control System Upgrade,Other
Insurance Premium - General Liability,Other
Gas Utility Bill -- Distribution Center,Heating
Natural Gas Line Inspection Fee,Other
Steam Generation Gas -,Heating
Electric Utility Bill -,Electricity
General Waste Collection -- Distribution Center,Waste Disposal
Natural Gas Line Inspection Fee,Other
KWh Consumption -,Electricity
Electricity Supply -- Global HQ,Electricity
Natural Gas Supply -for Monthey Facility,Heating
IT System Upgrade - Software Licenses,Other
Natural Gas Supply -for R&D Center,Heating
Gas Utility Bill -- Global HQ,Heating
Energy Supply Charge -- Monthey Facility,Electricity
Industrial Waste Pickup -in R&D Center,Waste Disposal
Energy Supply Charge -in Q3 Period,Electricity
Incinerator Maintenance Fee,Other
Heating Expense -- North America,Heating
Grid Power Purchase -in Year-End,Electricity
Steam Generation Gas -,Heating
Non-Hazardous Waste Disposal -- South America,Waste Disposal
Drainage System Maintenance,Other
Fuel Oil Delivery -,Heating
Non-Hazardous Waste Disposal -for Monthey Facility,Waste Disposal
Industrial Waste Pickup -in R&D Center,Waste Disposal
Monthly Water Usage -in Monthey Facility,Water
Medical Waste Collection -in Asia Pacific,Waste Disposal
Gas Utility Bill -for Manufacturing Plant,Heating
Power Consumption -- Monthey Facility,Electricity
Waste Sorting Equipment Lease,Other
Water Consumption -in North America,Water
Municipal Water Charge -,Water
Water Utility Bill -,Water
Monthly Water Usage -in Q3 Period,Water
Recycling Services -,Waste Disposal
Hazardous Waste Disposal -for European Operations,Waste Disposal
Recycling Services -,Waste Disposal
Potable Water Supply -for South America,Water
Electricity Supply -,Electricity
General Waste Collection -for Monthey Facility,Waste Disposal
Potable Water Supply -,Water
Water Consumption -,Water
Non-Hazardous Waste Disposal -for Global HQ,Waste Disposal
Environmental Impact Assessment,Other
Fuel Oil Delivery -in Basel Site,Heating
Solid Waste Management Fee -- Monthey Facility,Waste Disposal
KWh Consumption -- R&D Center,Electricity
Gas Utility Bill -- European Operations,Heating
Winter Heating Usage -,Heating
Potable Water Supply -,Water
Gas Utility Bill -for North America,Heating
Winter Heating Usage -for Distribution Center,Heating
Grid Power Purchase -- Asia Pacific,Electricity
Monthly Power Usage -,Electricity
Power Consumption -for Global HQ,Electricity
Municipal Water Charge -in Manufacturing Plant,Water
Bulk Water Purchase -- Q3 Period,Water
Propane Supply -for Asia Pacific,Heating
Monthly Water Usage -in Distribution Center,Water
Solid Waste Management Fee -in Q3 Period,Waste Disposal
Medical Waste Collection -in Year-End,Waste Disposal
Heating Fuel Purchase -- European Operations,Heating
Recycling Services -in Year-End,Waste Disposal
Electricity Supply -- Distribution Center,Electricity
General Waste Collection -in North America,Waste Disposal
Bulk Water Purchase -for Monthey Facility,Water
Water Consumption -for South America,Water
Grid Infrastructure Consulting Fee,Other
Raw Water Intake -,Water
Hazardous Waste Disposal -for Basel Site,Waste Disposal
Winter Heating Usage -,Heating
Plumbing Fixture Repair,Other
General Waste Collection -- R&D Center,Waste Disposal
Propane Supply -in South America,Heating
Electric Utility Bill -- European Operations,Electricity
Gas Utility Bill -for North America,Heating
Potable Water Supply -for Year-End,Water
Electricity Meter Reading -for Manufacturing Plant,Electricity
Water Consumption -in Year-End,Water
KWh Consumption -- Year-End,Electricity
Incinerator Maintenance Fee,Other
Potable Water Supply -for European Operations,Water
Solid Waste Management Fee -for Distribution Center,Waste Disposal
Transformer Upgrade Project,Other
Insulation Material Purchase,Other
Grid Power Purchase -- Basel Site,Electricity
Medical Waste Collection -,Waste Disposal
Heating Expense -in Global HQ,Heating
Gas Utility Bill -- Monthey Facility,Heating
Energy Supply Charge -,Electricity
Steam Generation Gas -for R&D Center,Heating
General Waste Collection -,Waste Disposal
Monthly Power Usage -- Q3 Period,Electricity
General Waste Collection -,Waste Disposal
IT System Upgrade - Software Licenses,Other
Winter Heating Usage -,Heating
Heating Expense -,Heating
Recycling Services -for Global HQ,Waste Disposal
Gas Utility Bill -,Heating
Potable Water Supply -for Asia Pacific,Water
Natural Gas Supply -,Heating
Power Consumption -in R&D Center,Electricity
Water Supply -- R&D Center,Water
Monthly Power Usage -,Electricity
Environmental Impact Assessment,Other
Water Supply -for European Operations,Water
Transformer Upgrade Project,Other
Energy Supply Charge -in R&D Center,Electricity
Monthly Water Usage -in Monthey Facility,Water
Bulk Water Purchase -in South America,Water
KWh Consumption -for Basel Site,Electricity
Medical Waste Collection -- Asia Pacific,Waste Disposal
Recycling Program Audit,Other
Municipal Water Charge -,Water
Municipal Water Charge -- Asia Pacific,Water
Water Utility Bill -,Water
Water Consumption -,Water
Grid Infrastructure Consulting Fee,Other
Energy Supply Charge -,Electricity
Potable Water Supply -in Monthey Facility,Water
Water Utility Bill -,Water
Water Consumption -in North America,Water
Propane Supply -for European Operations,Heating
Water Consumption -- Global HQ,Water
Municipal Water Charge -,Water
Electric Utility Bill -- South America,Electricity
Propane Supply -- Q3 Period,Heating
Industrial Waste Pickup -,Waste Disposal
Waste Management Consulting Service,Other
Heating Expense -in Basel Site,Heating
Electricity Meter Reading -,Electricity
Medical Waste Collection -for R&D Center,Waste Disposal
Medical Waste Collection -- Distribution Center,Waste Disposal
Steam Generation Gas -in Monthey Facility,Heating
Hazardous Waste Disposal -for Asia Pacific,Waste Disposal
Solid Waste Management Fee -- Asia Pacific,Waste Disposal
Heating Expense -for Q3 Period,Heating
Solar Panel Installation Cost,Other
General Waste Collection -,Waste Disposal
Natural Gas Supply -- Monthey Facility,Heating
Heating Expense -,Heating
Electric Utility Bill -- R&D Center,Electricity
Chemical Waste Disposal -in Year-End,Waste Disposal
Monthly Power Usage -- R&D Center,Electricity
Heat Exchanger Cleaning,Other
Hazardous Waste Disposal -- South America,Waste Disposal
Raw Water Intake -in Global HQ,Water
Chemical Waste Disposal -in Manufacturing Plant,Waste Disposal
Heating Expense -in South America,Heating
Electricity Meter Reading -in Asia Pacific,Electricity
Cooling Tower Water Treatment Chemicals,Other
Raw Water Intake -,Water
Bulk Water Purchase -- Basel Site,Water
Hazardous Waste Disposal -,Waste Disposal
Gas Utility Bill -- Global HQ,Heating
Heating Fuel Purchase -in R&D Center,Heating
Bulk Water Purchase -,Water
Electricity Supply -- South America,Electricity
KWh Consumption -- Manufacturing Plant,Electricity
Monthly Power Usage -for Asia Pacific,Electricity
Fuel Oil Delivery -in Asia Pacific,Heating
Heating Fuel Purchase -- European Operations,Heating
Water Supply -for Q3 Period,Water
Energy Supply Charge -- R&D Center,Electricity
Water Consumption -,Water
Propane Supply -for R&D Center,Heating
Non-Hazardous Waste Disposal -- Basel Site,Waste Disposal
Energy Supply Charge -in Asia Pacific,Electricity
Power Consumption -for Distribution Center,Electricity
Monthly Power Usage -for North America,Electricity
Water Consumption -- Distribution Center,Water
Bulk Water Purchase -- Distribution Center,Water
Herbicide Product Sales - Europe Region,Other
Gas Utility Bill -in South America,Heating
Municipal Water Charge -- Asia Pacific,Water
Raw Water Intake -,Water
Water Consumption -- R&D Center,Water
Municipal Water Charge -- North America,Water
Water Supply -in Q3 Period,Water
Chemical Waste Disposal -in Distribution Center,Waste Disposal
Employee Salaries - Month End,Other
Gas Utility Bill -for Monthey Facility,Heating
Plumbing Fixture Repair,Other
Steam Generation Gas -in Basel Site,Heating
Steam Generation Gas -for Basel Site,Heating
Electricity Meter Reading -,Electricity
Monthly Power Usage -in Year-End,Electricity
Water Supply -- R&D Center,Water
Water Utility Bill -for Manufacturing Plant,Water
Industrial Waste Pickup -- South America,Waste Disposal
Grid Power Purchase -for Monthey Facility,Electricity
Heating Expense -- Manufacturing Plant,Heating
Energy Supply Charge -for European Operations,Electricity
General Waste Collection -- Monthey Facility,Waste Disposal
Bulk Water Purchase -for South America,Water
Electric Utility Bill -- European Operations,Electricity
General Waste Collection -- European Operations,Waste Disposal
General Waste Collection -for European Operations,Waste Disposal
Energy Supply Charge -in Basel Site,Electricity
Hazardous Waste Disposal -in Distribution Center,Waste Disposal
Drainage System Maintenance,Other
Power Consumption -for Year-End,Electricity
Grid Power Purchase -in Monthey Facility,Electricity
Hazardous Waste Disposal -in North America,Waste Disposal
Water Consumption -in Basel Site,Water
Natural Gas Supply -in European Operations,Heating
Medical Waste Collection -- European Operations,Waste Disposal
Propane Supply -for Basel Site,Heating
Hazardous Waste Disposal -- Global HQ,Waste Disposal
Water Utility Bill -- Distribution Center,Water
Municipal Water Charge -,Water
Electricity Supply -,Electricity
Potable Water Supply -in R&D Center,Water
Winter Heating Usage -- Manufacturing Plant,Heating
Water Utility Bill -in Asia Pacific,Water
Municipal Water Charge -,Water
Propane Supply -for South America,Heating
Water Supply -,Water
Recycling Services -,Waste Disposal
Drainage System Maintenance,Other
Steam Generation Gas -,Heating
Wastewater Discharge Treatment,Other
Electricity Meter Reading -in Basel Site,Electricity
Winter Heating Usage -,Heating
Winter Heating Usage -for Q3 Period,Heating
Grid Power Purchase -,Electricity
Natural Gas Supply -- Distribution Center,Heating
Solid Waste Management Fee -in Q3 Period,Waste Disposal
Potable Water Supply -in Distribution Center,Water
Water Utility Bill -for Year-End,Water
Monthly Power Usage -in South America,Electricity
Bulk Water Purchase -for Distribution Center,Water
Heating Fuel Purchase -for North America,Heating
Travel & Entertainment Expense,Other
Potable Water Supply -- European Operations,Water
Electricity Supply -for Q3 Period,Electricity
Power Quality Audit Service,Other
Municipal Water Charge -for Manufacturing Plant,Water
Energy Supply Charge -- Q3 Period,Electricity
Chemical Waste Disposal -in Monthey Facility,Waste Disposal
Electricity Meter Reading -- European Operations,Electricity
Emergency Generator Fuel,Other
Propane Supply -- Year-End,Heating
Raw Water Intake -in Monthey Facility,Water
Water Purity Analysis,Other
Bulk Water Purchase -,Water
Heating Expense -- R&D Center,Heating
Water Utility Bill -- South America,Water
Hazardous Waste Disposal -for South America,Waste Disposal
Grid Power Purchase -in Distribution Center,Electricity
General Waste Collection -for R&D Center,Waste Disposal
Power Quality Audit Service,Other
Insulation Material Purchase,Other
Electricity Supply -in Year-End,Electricity
KWh Consumption -- R&D Center,Electricity
HVAC System Service Contract,Other
Monthly Water Usage -,Water
Water Utility Bill -,Water
Energy Supply Charge -- Monthey Facility,Electricity
Potable Water Supply -for North America,Water
KWh Consumption -,Electricity
Monthly Water Usage -,Water
Non-Hazardous Waste Disposal -,Waste Disposal
Electricity Meter Reading -for Basel Site,Electricity
Electricity Meter Reading -,Electricity
Steam Generation Gas -,Heating
Environmental Impact Assessment,Other
Potable Water Supply -- Year-End,Water
Temperature Control System Upgrade,Other
Electricity Supply -in Year-End,Electricity
Fuel Oil Delivery -for South America,Heating
Industrial Waste Pickup -- European Operations,Waste Disposal
Heating Expense -in Basel Site,Heating
Steam Generation Gas -in Monthey Facility,Heating
Raw Water Intake -,Water
Monthly Water Usage -,Water
Industrial Waste Pickup -for Distribution Center,Waste Disposal
Municipal Water Charge -in Year-End,Water
Water Utility Bill -in South America,Water
Municipal Water Charge -for Global HQ,Water
Raw Water Intake -- Distribution Center,Water
Electricity Supply -for Global HQ,Electricity
Heat Exchanger Cleaning,Other
Power Consumption -- Distribution Center,Electricity
Heat Exchanger Cleaning,Other
Power Consumption -,Electricity
Electricity Supply -- Manufacturing Plant,Electricity
Heating Fuel Purchase -- Distribution Center,Heating
Steam Generation Gas -- Distribution Center,Heating
KWh Consumption -for North America,Electricity
Water Consumption -- Monthey Facility,Water
Heating Expense -in Global HQ,Heating
Propane Supply -for Basel Site,Heating
Electric Utility Bill -- Distribution Center,Electricity
Gas Utility Bill -for Basel Site,Heating
Heating Expense -for Basel Site,Heating
Electric Utility Bill -,Electricity
Electricity Meter Reading -for Q3 Period,Electricity
Environmental Impact Assessment,Other
Marketing Campaign - Digital Ads,Other
Non-Hazardous Waste Disposal -- Q3 Period,Waste Disposal
Solar Panel Installation Cost,Other
KWh Consumption -for Year-End,Electricity
Solid Waste Management Fee -for European Operations,Waste Disposal
Hazardous Waste Disposal -,Waste Disposal
Herbicide Product Sales - Europe Region,Other
Natural Gas Supply -in North America,Heating
Marketing Campaign - Digital Ads,Other
Heating Expense -for Monthey Facility,Heating
Power Consumption -in Monthey Facility,Electricity
Monthly Power Usage -in North America,Electricity
Heating Expense -in Manufacturing Plant,Heating
Grid Power Purchase -in Manufacturing Plant,Electricity
General Waste Collection -,Waste Disposal
